Title,Artist,Genres,Tags,Url
Midnight City,M83,,Wedding,
Mine Would Be You,Blake Shelton,,Wedding,
Miss Fatty,Million Stylez,Dance Hall,Wedding,
Mo Money Mo Problems,The Notorious B.I.G.,,Wedding,
Moon River,Audrey Hepburn,,Wedding,
More Than Anyone,Gavin DeGraw,,Wedding,
Move Your Feet,Junior Senior,Dance,Wedding,
Moves Like Jagger,Maroon 5 and Christina Aguilera,,Wedding,https://www.youtube.com/watch?v=iEPTlhBmwRg
Moves Like Jagger (feat. Christina Aguilera),Maroon 5,Pop,Wedding,
Ms Jackson,Outkast,Hip Hop/Rap,Wedding,
Music And Lights,Imagination,Other,Wedding,
My Best Friend,Tim McGraw,,Wedding,
My Everything,Cheneta Jones,,Wedding,
My Girl,The Temptations,,Wedding,
My Humps,Black Eyed Peas,Hip-Hop,Wedding,
My Life My Love My All,Kirk Franklin,,Wedding,
My Love,Justin Timberlake/T.I.,Alternatif,Wedding,
My Prerogative,Bobby Brown,,Wedding,https://www.youtube.com/watch?v=5cDLZqe735k
My Wish,Rascal Flatts,,Wedding,
Never Let Me Go,Florence + The Machine,,Wedding,
Neville's Waltz,Patrick Doyle (from Harry Potter and the Goblet of Fire),,Wedding,
Niggas in Paris,Jay-Z and Kanye West,Hip Hop/Rap,Wedding,
Oh Happy Day,Aretha Franklin,,Wedding,
Oh Pretty Woman,Roy Orbison,,Wedding,
OMG,Usher featuring will.i.am,,Wedding,https://www.youtube.com/watch?v=1RnPB76mjxI
On Top of the World,Imagine Dragons,,Wedding,
One Call Away,Charlie Puth,,Wedding,
Only Wanna Be With You,Hootie and the Blowfish,,Wedding,
Order My Steps,Brooklyn Tabernacle Choir,,Wedding,
Over the Rainbow,Israel Kamakawiwoʻole,,Wedding,
Part of Your World,Jodi Benson (from The Little Mermaid),,Wedding,
Party Rock Anthem,LMFAO and Lauren Bennett,,Wedding,https://www.youtube.com/watch?v=KQ6zr6kCPj8
Perfect,Ed Sheeran,,Wedding,
Perfect Duet,Ed Sheeran and Beyoncé,,Wedding,
Play That Funky Music,Wild Cherry,Funk,Wedding,
Poker Face,Lady Gaga,,Wedding,
Pon De Floor,Major Lazer ft. VYBZ Kartel,Electro House,Wedding,
Pon de Replay,Rihanna,Pop,Wedding,
Pony,Ginuwine,R&B,Wedding,
Pour Some Sugar On Me,Def Leppard,,Wedding,https://www.youtube.com/watch?v=RaG8faaFUMM
Pretty young thing,Michael jackson,Pop,Wedding,
Raise Your Glass,P!nk,,Wedding,https://www.youtube.com/watch?v=XjVNlG5cZyQ
Reach Out,George Duke,Funk,Wedding,
Ready For Your Love,Gorgon City Feat. MNEK,House,Wedding,
Reign of Love,Coldplay,,Wedding,
Remember the time,Michael jackson,Pop,Wedding,
Respect,Aretha Franklin,,Wedding,
Return of The Mack (C&J Edit),Mark Morrison,R&B,Wedding,
Ribbon in the Sky,Stevie Wonder,,Wedding,
Ring of Fire,Johnny Cash,,Wedding,
Rock DJ,Robbie Willams,Pop,Wedding,
Rock With You ,Michael Jackson,Pop,Wedding,
